msno,is_churn,city,bd,gender,registered_via,registration_init_time,num_100,num_25,total_secs,completion_rate,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
ugx0CjOMzazClkFzU2xasmDZaoIqOUAZPsH1q0teWCg=,1,5.0,28.0,male,3.0,20131223.0,318.0,186.0,80598.555,1.7005347593582887,,,,,,,,
f/NmvEzHfhINFEYZTR05prUdr+E+3+oewvweYz9cCQE=,1,13.0,20.0,male,3.0,20131223.0,26.0,0.0,6986.509,26.0,36.0,30.0,180.0,180.0,0.0,20170311.0,20170411.0,0.0
zLo9f73nGGT1p21ltZC3ChiRnAVvgibMyazbCxvWPcg=,1,13.0,18.0,male,3.0,20131227.0,205.0,239.0,67810.47,0.8541666666666666,15.0,90.0,300.0,300.0,0.0,20170314.0,20170615.0,0.0
8iF/+8HY8lJKFrTc7iR9ZYGCG2Ecrogbc2Vy5YhsfhQ=,1,1.0,0.0,,7.0,20140109.0,,,,,41.0,30.0,149.0,149.0,1.0,20151208.0,20180108.0,0.0
K6fja4+jmoZ5xG6BypqX80Uw/XKpMgrEMdG2edFOxnA=,1,13.0,35.0,female,7.0,20140125.0,962.0,9.0,239882.23,96.2,41.0,30.0,99.0,99.0,1.0,20170316.0,20170918.0,0.0
ibIHVYBqxGwrSExE63/omeDD99M5vYB3CN2HzkEY+eM=,1,22.0,0.0,,3.0,20140126.0,37.0,6.0,10110.665,5.285714285714286,40.0,30.0,149.0,149.0,1.0,20170316.0,20170314.0,1.0
kVmM8X4iBPCOfK/m1l3KR7LjFoxD1EcKYCc76F5IAWw=,1,1.0,0.0,,7.0,20140129.0,,,,,41.0,30.0,99.0,99.0,1.0,20170307.0,20170307.0,1.0
moRTKhKIDvb+C8ZHOgmaF4dXMLk0jOn65d7a8tQ2Eds=,1,9.0,28.0,female,3.0,20140202.0,1023.0,78.0,290831.8,12.949367088607595,38.0,410.0,1788.0,1788.0,0.0,20170324.0,20180513.0,0.0
dW/tPZMDh2Oz/ksduEctJbsz0MXw3kay/1AlZCq3EbI=,1,13.0,21.0,female,9.0,20140212.0,658.0,291.0,179129.06,2.2534246575342465,38.0,90.0,477.0,477.0,0.0,20170328.0,20170707.0,0.0
otEcMhAX3mU4gumUSogqgteN3oaNmhdmTkoof2iRYEE=,1,13.0,0.0,,7.0,20140228.0,365.0,456.0,97597.54,0.7986870897155361,40.0,30.0,149.0,149.0,1.0,20170326.0,20170525.0,0.0
